Id,Name,Product Group,Stock Method,Post Rent Unavailability,Replacement Charge,Weight,Description,Active,Accessory Only,Tags,Tests & Inspections,Rental Price,Discountable,mainsPowerReq,powerType,Replacement Charge Date,Testable?,prefPwrCbl,isCable,connector1,connector2
1099,SKB 1SKB-R2U - Roto Moulded Shallow Rack Case - 2U,Accessories,Serialised,0,0,0,,Yes,No,,,0,Yes,,,,No,,,,
1022,"Slide/Gobo Holder, for Solar 250 LED",Accessories,Serialised,0,30,0.11,The Solar Slide/Gobo Holder accepts either a 50mm diameter gobo or duplicate 35mm slide and fits any Solar or K Range Effects Projector – past and present.,Yes,No,,,0,Yes,,,,No,,,,
918,"Soft case for Yamaha DXS15 MKII 15""",Accessories,Serialised,0,0,1.15,"Soft case for Yamaha DXS15 MKII 15""",Yes,No,,,0,Yes,,,,No,,,,
487,"Speaker Pole (35mm, locking) - RETIRED",Accessories,Bulk,0,0,2.9,,No,No,,,0,Yes,,,,,,,,
947,Spring clamps,Accessories,Bulk,0,0,0,,Yes,No,,,0,Yes,,,,No,,,,
693,TP-Link AC1200 Wi-Fi router power supply,Accessories,Serialised,0,10,0.09,"TP-Link AC1200 Wi-Fi wireless router power supply, 9V.",Yes,Yes,"router power supply,power supply,wifi router,9v power supply,9v",,0,Yes,,,,No,,,,
885,Truss half egg,Accessories,Bulk,0,0,0.1,Truss half egg,Yes,No,,,0,Yes,,,,No,,,,
1027,TV SPIGOT M10,Accessories,Serialised,0,0.2,0.2,"- Strong die-cast aluminium
- 28mm Spigot
- M10 thread
- Bolt included",Yes,No,,,0,Yes,,,,No,,,,
1039,TV toolkit,Accessories,Bulk,0,0,0,"1 x 4.5mm hex driver
1 x pz2 screwdriver
1 x adjustable spanner",Yes,No,,,0,Yes,,,,No,,,,
936,Unique haze fluid 2L,Accessories,Bulk,0,0,2.3,,Yes,No,,,,Yes,,,,No,,,,
1104,USB A to USB B Micro cable,Accessories,Serialised,0,7,0.01,"About this item
USB 2.0 cable with A Male to Micro B connectors; supports up to 480 Mbps data transmission speed
Ideal for charging Android phones and tablets or connecting PC peripherals such as hard drives, printers, and more",Yes,No,,,0,Yes,,,,No,,,,
992,USB A to USB C cable,Accessories,Serialised,0,0.05,0.05,,Yes,No,,,1.5,Yes,,,,No,,,,
824,"Valance, black, 300mm height, per meter",Accessories,Bulk,0,0,0,,Yes,No,,,3,Yes,,,,,,,,
699,4 way FFA/Funktion One amp rack,Audio - Amplifiers,Bulk,0,0,0,,Yes,No,Funktion One,,200,Yes,,,,Yes,,,,
766,d&b D12 amplifier,Audio - Amplifiers,Bulk,0,5000,13,,Yes,No,,,55,Yes,,,,Yes,,,,
701,FFA 10K 2 channel amplifier,Audio - Amplifiers,Bulk,0,0,12,,Yes,No,Funktion One,,50,Yes,,,,Yes,,,,
702,FFA 8004HD DSP 4 channel amplifier,Audio - Amplifiers,Bulk,0,0,10,,Yes,No,Funktion One,,75,Yes,,,,Yes,,,,
35,Lab Gruppen FP10000Q Amplifier,Audio - Amplifiers,Serialised,0,3500,12,"Very high power and channel density – The four-channel FP10000Q delivers a total of 10000 W (4 x 2500 W @ 2 ohms) in only 2U 
Four-channel flexibility – Adjacent channels bridgeable for 2- or 3-channel operation
Lab.gruppen sound quality – impeccable sonic performance standards with durability and greater efficiency
NomadLink® network ready – Monitoring and control of key functions accessible via the intuitive DeviceControl software 
Patented Class TD amplifier topology – Road-proven output stage delivers Class B audio quality with Class D efficiency 
Regulated Switch Mode Power Supply (R.SMPS) – Output power remains constant even with significant drops in the mains voltage
Efficient cooling system - Unique, lightweight Intercoller copper cooling system dissipates more heat to allow extended peak output
Adjustable parameters - Selectable Gain, scalable Voltage Peak Limiter (VPL), and bridge-mode operation allow custom configuration for any application
Comprehensive protection and warning – Excessive output current, DC, high temperature, very high frequency (VHF), short circuit, open load, mains fuse protection, and soft start
XLR input connectors
Heavy-duty binding post or Speakon output connectors",Yes,No,"amp,Nexo",,70,Yes,,,,Yes,,,,
318,Nexo DTD Amp 4x0.7,Audio - Amplifiers,Serialised,0,2000,7.5,,Yes,No,"Nexo,amp",,45,Yes,,,,Yes,,,,
301,Nexo DTD Amp 4x1.3,Audio - Amplifiers,Serialised,0,2000,7.5,,Yes,No,"amp,Nexo",,50,Yes,,,,Yes,,,,
971,Nexo DTD Rack: 2 x 4 x 0.7,Audio - Amplifiers,None,0,0,0,2 x dtd 0.7  amp,Yes,No,,,50,Yes,,,,No,,,,
968,Nexo DTD Rack: 4 x 1.3,Audio - Amplifiers,None,0,0,0,1 x dtd 1.3 amp,Yes,No,,,50,Yes,,,,No,,,,
954,Nexo DTD Rack: Lab Gruppen,Audio - Amplifiers,None,0,0,0,,No,No,,,70,Yes,,,,No,,,,
1086,Nexo NXAMP4x1MK2 4-channel 1300w Power Amplifier,Audio - Amplifiers,Serialised,0,2900,15.7,"4 channels mode / 8 Ohms load per channel: 4x 600 Watts
4 channels mode / 4 Ohms load per channel: 4x 900 Watts
4 channels mode / 2 Ohms load per channel: 4x 1300 Watts
2 channels mode / 8 Ohms load per channel: 2x 1800 Watts
2 channels mode / 4 Ohms load per channel: 2x 2600 Watts",Yes,No,,,75,Yes,,,,No,,,,
75,Void Bias VQ (Powersoft) 4 channel amplifier,Audio - Amplifiers,Serialised,0,1857,7.4,"The Four channel Bias VQ DSP amplifier provides reliable premier-grade power and headroom in the smallest possible package size. Fully digitally controlled and with a Rj45 PC communication port as standard, the Bias VQ amounts to a fully integrated, highly sophisticated yet easy to use power source including state-of-the-art sound shaping and system management capabilities. - See more at: http://voidacoustics.com/docs/products/Bias_VQ.shtml#horizontalTab-Top1

Specifications
 

Number of channels	 4
Input	10KΩ Balanced/AES3
Frequency Response	20Hz-20Khz (±0.5dB)
AC Power	90-264V 50-60 Hz PFC
Output	4 x 1250W @ 4 ohms, 4 x 750W @ 8 ohms.
Dampening Factor	> 5000 @ 100 Hz
S/N Ratio	>110dB (20Hz - 20KHz)
Crosstalk separation	> 70dB @ 1kHz
THD+N	<0.5% @ 1/2 full power
IMD	<0.02%
Slew rate	50V/μs
Peak output voltage	135 V
Peak output current	65 A
AD Converter	Cirrus Logic CS 5381, 2 channel, 24 bit @ 48 kHz, 120 dB S/N
DA Converter	Cirrus Logic CS 5381, 2 channel, 24 bit @ 48 kHz, 120 dB S/N
Internal precision	Fixed Point
Crossover	Butterworth, Linkwitz-Riley, Bessel: 6 dB/oct to 48 dB/oct
Height	44.45 mm
Width	483 mm
Depth	358 mm
Weight	7.4Kg (16.3 lb)
- See more at: http://voidacoustics.com/docs/products/Bias_VQ.shtml#horizontalTab-Top2",Yes,No,"amp,Nexo",,50,Yes,,,,Yes,,,,
34,Yamaha PC9501 N Power Amplifier,Audio - Amplifiers,Serialised,0,0,13,2 channel power amp 2 x 900 watts @ 8 ohms,Yes,No,amp,,35,Yes,,,,Yes,,,,
780,ART Cleanbox Pro,Audio - DIs,Serialised,0,0,0.38,"2-Channel level converter
To convert two unbalanced channels into two symmetrical channels and vice versa
Noise and low-distortion circuit
XLR connectors for balanced inputs and outputs
RCA connectors and stereo mini jacks for unbalanced inputs and outputs
Level control for balanced and unbalanced outputs
Illuminated on/off switch
Robust aluminium housing",Yes,No,,,5,Yes,,,,No,,,,
155,BSS Audio AR-133 Active DI Box,Audio - DIs,Serialised,0,130,0.65,,Yes,No,direct inject,,5,Yes,,,,,,,,
297,DBX DJdi  Passive Dual Channel DI,Audio - DIs,Serialised,0,30,0.46,,Yes,No,"direct inject,Laptop",,5,Yes,,,,,,,,
51,Guil Tripod,Audio - DIs,Bulk,0,100,0,Heavyweight Speaker tripod,No,No,speaker stand,,2.5,Yes,,,,,,,,
1089,Klark Teknik DW 20BR Bluetooth Wireless Receiver,Audio - DIs,Serialised,0,0,0.4,,Yes,No,,,10,Yes,,,,No,,,,
99,Pulse Active DI,Audio - DIs,Serialised,0,30,0.6,,Yes,No,direct inject,,4,Yes,,,,,,,,
154,RETIRED - Nexo PS10 R2 System Package 3 (Lab Gruppen),Audio - DIs,None,0,0,0,,No,No,package,,260,Yes,,,,,,,,
73,Void Air Vantage (grey),Audio - DIs,Serialised,0,2340,37.6,"Dual purpose loud speaker

Key Features
Fibreglass Kevlar composite construction
Visually striking appearance
Fast transient response",No,No,"Speaker,monitor",,70,Yes,,,,,,,,
74,Void Stasys 118,Audio - DIs,Serialised,0,1100,40,"Depth 600mm
Height 630mm (not including castors)
Width 560mm",No,No,"Speaker,Sub,passive",,40,Yes,,,,,,,,
